Date,Holiday Name ,Semester
26-01-2025,Republic Day,ALL
13-02-2025,etamax,ALL
14-02-2025,etamax,ALL
15-02-2025,etamax,ALL
19-02-2025,Shivaji Jayanti,ALL
26-02-2025,Maha Shivratri,ALL
27-02-2025,IA 1,ALL
28-02-2025,IA 1,ALL
01-03-2025,IA 1,ALL
14-03-2025,Holi,ALL
31-03-2025,EID,ALL
10-04-2025,Mahavir Jayanti,ALL
14-04-2025,Ambedkar Jayanti,ALL
18-04-2025,Good Friday,ALL
22-04-2025,IA 2,ALL
23-04-2025,IA 2,ALL
24-04-2025,IA 2,ALL
